"filename", "language", "Java", "XML", "CSV", "comment", "blank", "total"
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\Pizza.class", "Java", 20, 0, 0, 0, 0, 20
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\Producto.class", "Java", 22, 0, 0, 0, 0, 22
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\SIZE.class", "Java", 14, 0, 0, 0, 0, 14
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\TipoProducto.class", "Java", 14, 0, 0, 0, 0, 14
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Utils\DatabaseConf.class", "Java", 60, 0, 0, 0, 0, 60
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\controlador\ControladorCliente.class", "Java", 27, 0, 0, 0, 0, 27
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\controlador\ControladorPedido.class", "Java", 27, 0, 0, 0, 0, 27
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\controlador\ControladorProducto.class", "Java", 19, 0, 0, 0, 0, 19
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\controlador\dao\ClienteDao.class", "Java", 5, 0, 0, 0, 0, 5
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\controlador\dao\PedidoDao.class", "Java", 5, 0, 0, 0, 0, 5
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\controlador\dao\ProductoDao.class", "Java", 5, 0, 0, 0, 0, 5
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\controlador\dao\imp\JDBCClienteDao.class", "Java", 104, 0, 0, 0, 4, 108
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\controlador\dao\imp\JDBCPedido.class", "Java", 152, 0, 0, 0, 6, 158
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\controlador\dao\imp\JDBCProductoDao.class", "Java", 200, 0, 0, 0, 12, 212
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\primary.fxml", "XML", 0, 14, 0, 0, 3, 17
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\secondary.fxml", "XML", 0, 14, 0, 0, 3, 17
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\module-info.class", "Java", 6, 0, 0, 0, 0, 6
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\surefire-reports\TEST-ies.thiar.ControladorClienteTest.xml", "XML", 0, 554, 0, 0, 0, 554
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\test-classes\ies\thiar\ControladorClienteTest$1.class", "Java", 8, 0, 0, 0, 0, 8
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\test-classes\ies\thiar\ControladorClienteTest$2.class", "Java", 9, 0, 0, 0, 0, 9
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\test-classes\ies\thiar\ControladorClienteTest$3.class", "Java", 8, 0, 0, 0, 0, 8
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\test-classes\ies\thiar\ControladorClienteTest$4.class", "Java", 8, 0, 0, 0, 0, 8
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\test-classes\ies\thiar\ControladorClienteTest.class", "Java", 92, 0, 0, 0, 2, 94
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\test-classes\ies\thiar\ControladorProductoTest.class", "Java", 5, 0, 0, 0, 0, 5
"Total", "-", 3421, 1209, 6, 625, 702, 5963
